case:concept:name,concept:name
10358444,01_HOOFD_010
10358444,01_HOOFD_011
10358444,01_HOOFD_020
10358444,01_HOOFD_015
10358444,03_GBH_005
10358444,05_EIND_010
10358444,01_HOOFD_030_2
10358444,01_HOOFD_030_1
10358444,02_DRZ_010
10358444,01_HOOFD_050
10358444,04_BPT_005
10358444,04_BPT_010
10358444,04_BPT_020
10358444,04_BPT_030
10358444,01_HOOFD_065_1
10358444,01_HOOFD_065_2
10358444,01_HOOFD_090
10358444,01_HOOFD_130
10358444,01_HOOFD_110_1
10358444,01_HOOFD_110_2
10358444,01_HOOFD_180
10358444,08_AWB45_005
10358444,08_AWB45_010
10358444,08_AWB45_020_2
10358444,08_AWB45_020_1
10358444,08_AWB45_030
10358444,08_AWB45_040
10358444,01_HOOFD_190_1
10358444,01_HOOFD_190_2
10358444,08_AWB45_005
10358444,01_HOOFD_200
10358444,01_HOOFD_270
10358444,01_HOOFD_195
10358444,01_HOOFD_250_1
10358444,01_HOOFD_196
10358444,09_AH_I_010
10358444,01_HOOFD_370
10358444,01_HOOFD_250_2
10358444,01_HOOFD_380
10358444,01_HOOFD_375
10358444,01_HOOFD_440_1
10358444,01_HOOFD_440_2
10358444,01_HOOFD_445
10358444,01_HOOFD_446
10358444,10_UOV_010
10358444,10_UOV_060
10358444,10_UOV_180
10358444,10_UOV_210
10358444,11_AH_II_010
10358444,10_UOV_050_1
10358444,10_UOV_190_1
10358444,10_UOV_040
10358444,01_HOOFD_460
10358444,01_HOOFD_465
10358444,10_UOV_045
10358444,01_HOOFD_490_1
10358444,10_UOV_190_2
10358444,10_UOV_050_2
10358444,10_UOV_035
10358444,10_UOV_030
10358444,01_BB_630
10358444,01_BB_730
10358444,01_BB_766
10358444,01_BB_630
10358444,01_HOOFD_510_1
10358444,01_HOOFD_510_1
10358444,01_HOOFD_820
10358444,01_BB_755
10358444,01_HOOFD_490_4
10358444,01_BB_765
10358444,01_HOOFD_490_1
10358444,01_HOOFD_520
10358444,01_HOOFD_490_4
10358444,01_HOOFD_520
10358444,01_HOOFD_495
10358444,01_HOOFD_495
10358444,01_HOOFD_490_3
10358444,01_HOOFD_510_2
10358444,01_HOOFD_530
10358444,01_HOOFD_490_3
10358444,01_HOOFD_510_2
10358444,01_HOOFD_530
10358444,01_BB_770
10358444,01_HOOFD_810
11269753,01_HOOFD_010
11269753,01_HOOFD_011
11269753,01_HOOFD_020
11269753,03_GBH_005
11269753,05_EIND_010
11269753,01_HOOFD_015
11269753,01_HOOFD_030_1
11269753,01_HOOFD_030_2
11269753,02_DRZ_010
11269753,01_HOOFD_050
11269753,04_BPT_005
11269753,04_BPT_010
11269753,04_BPT_020
11269753,04_BPT_030
11269753,01_HOOFD_065_1
11269753,01_HOOFD_065_2
11269753,01_HOOFD_090
11269753,07_OPS_010
11269753,06_VD_010
11269753,01_HOOFD_101
11269753,01_HOOFD_130
11269753,01_HOOFD_110
11269753,01_HOOFD_180
11269753,01_HOOFD_120
11269753,09_AWB45_005
11269753,01_HOOFD_200
11269753,01_HOOFD_270
11269753,01_HOOFD_195
11269753,01_HOOFD_250_1
11269753,01_HOOFD_196
11269753,09_AH_I_010
11269753,01_HOOFD_380
11269753,01_HOOFD_250_2
11269753,01_HOOFD_370
11269753,01_HOOFD_375
11269753,01_HOOFD_440_1
11269753,01_HOOFD_446
11269753,01_HOOFD_440_2
11269753,01_HOOFD_460
11269753,01_HOOFD_445
11269753,10_UOV_010
11269753,01_HOOFD_465
11269753,10_UOV_045
11269753,10_UOV_040
11269753,10_UOV_050_1
11269753,10_UOV_050_2
11269753,10_UOV_060
11269753,10_UOV_180
11269753,10_UOV_030
11269753,10_UOV_035
11269753,10_UOV_190_1
11269753,10_UOV_190_2
11269753,10_UOV_210
11269753,11_AH_II_010
11269753,01_HOOFD_490_1
11269753,01_HOOFD_490_4
11269753,01_HOOFD_495
11269753,01_HOOFD_510_1
11269753,01_HOOFD_520
11269753,01_BB_630
11269753,01_BB_730
11269753,01_BB_766
11269753,01_BB_755
11269753,01_HOOFD_490_1
11269753,01_HOOFD_490_4
11269753,01_HOOFD_495
11269753,01_HOOFD_510_1
11269753,01_HOOFD_520
11269753,01_BB_630
11269753,01_BB_770
11269753,01_BB_765
11269753,01_HOOFD_820
11269753,01_HOOFD_530
11269753,01_HOOFD_490_3
11269753,01_HOOFD_510_2
11269753,01_HOOFD_510_2
11269753,01_HOOFD_490_3
11269753,01_HOOFD_530
11269753,01_HOOFD_810
11666570,01_HOOFD_010
11666570,01_HOOFD_065_2
11666570,01_HOOFD_030_2
11666570,01_HOOFD_490_5a
11666570,01_HOOFD_510_4
11666570,01_HOOFD_490_5
11666570,01_HOOFD_510_2a
11666570,01_HOOFD_510_2
11666570,01_HOOFD_810
11666570,01_BB_770
11666570,01_HOOFD_011
11666570,01_HOOFD_020
11666570,03_GBH_005
11666570,16_LGSV_010
11666570,01_HOOFD_015
11666570,01_HOOFD_030_1
11666570,02_DRZ_010
11666570,04_BPT_005
11666570,01_HOOFD_061
11666570,01_HOOFD_065_0
11666570,01_HOOFD_065_1
11666570,01_HOOFD_110_0
11666570,01_HOOFD_180
11666570,08_AWB45_005
11666570,01_HOOFD_195
11666570,01_HOOFD_196
11666570,01_HOOFD_200
11666570,01_HOOFD_250_1
11666570,01_HOOFD_250_2
11666570,01_HOOFD_330
11666570,09_AH_I_010
11666570,01_HOOFD_380
11666570,01_HOOFD_430
11666570,11_AH_II_010
11666570,01_HOOFD_375
11666570,01_HOOFD_370
11666570,13_CRD_010
11666570,01_HOOFD_480
11666570,01_HOOFD_490_1
11666570,01_HOOFD_490_2
11666570,01_HOOFD_490_1a
11666570,01_HOOFD_490_4
11666570,01_HOOFD_491
11666570,01_HOOFD_494a
11666570,01_HOOFD_500
11666570,16_LGSD_010
11666570,01_HOOFD_495
11666570,01_HOOFD_510_0
11666570,01_HOOFD_510_1
11666570,01_HOOFD_519
11666570,01_HOOFD_515
