concept:name,case:concept:name,time:timestamp
Create Fine,A1,2006-07-23 22:00:00+00:00
Send Fine,A1,2006-12-04 23:00:00+00:00
Create Fine,A100,2006-08-01 22:00:00+00:00
Send Fine,A100,2006-12-11 23:00:00+00:00
Insert Fine Notification,A100,2007-01-14 23:00:00+00:00
Add penalty,A100,2007-03-15 23:00:00+00:00
Send for Credit Collection,A100,2009-03-29 22:00:00+00:00
Create Fine,A10000,2007-03-08 23:00:00+00:00
Send Fine,A10000,2007-07-16 22:00:00+00:00
Insert Fine Notification,A10000,2007-08-01 22:00:00+00:00
Add penalty,A10000,2007-09-30 22:00:00+00:00
Payment,A10000,2008-09-08 22:00:00+00:00
Create Fine,A10001,2007-03-18 23:00:00+00:00
Send Fine,A10001,2007-07-16 22:00:00+00:00
Insert Fine Notification,A10001,2007-07-24 22:00:00+00:00
Insert Date Appeal to Prefecture,A10001,2007-08-01 22:00:00+00:00
Add penalty,A10001,2007-09-22 22:00:00+00:00
Send Appeal to Prefecture,A10001,2007-09-23 22:00:00+00:00
Create Fine,A10005,2007-03-19 23:00:00+00:00
Payment,A10005,2007-03-20 23:00:00+00:00
Create Fine,A10009,2007-03-19 23:00:00+00:00
Send Fine,A10009,2007-07-16 22:00:00+00:00
Insert Fine Notification,A10009,2007-07-22 22:00:00+00:00
Add penalty,A10009,2007-09-20 22:00:00+00:00
Payment,A10009,2007-09-30 22:00:00+00:00
Payment,A10009,2007-10-30 23:00:00+00:00
Create Fine,A10102,2007-03-04 23:00:00+00:00
Send Fine,A10102,2007-06-26 22:00:00+00:00
Insert Fine Notification,A10102,2007-07-06 22:00:00+00:00
Add penalty,A10102,2007-09-04 22:00:00+00:00
Insert Date Appeal to Prefecture,A10102,2007-09-09 22:00:00+00:00
Send Appeal to Prefecture,A10102,2007-10-24 22:00:00+00:00
Create Fine,A10125,2007-03-09 23:00:00+00:00
Send Fine,A10125,2007-07-16 22:00:00+00:00
Insert Fine Notification,A10125,2007-07-25 22:00:00+00:00
Insert Date Appeal to Prefecture,A10125,2007-07-31 22:00:00+00:00
Payment,A10125,2007-09-13 22:00:00+00:00
Add penalty,A10125,2007-09-23 22:00:00+00:00
Send Appeal to Prefecture,A10125,2007-09-23 22:00:00+00:00
Create Fine,A1017,2006-09-10 22:00:00+00:00
Send Fine,A1017,2006-12-28 23:00:00+00:00
Insert Fine Notification,A1017,2007-01-08 23:00:00+00:00
Add penalty,A1017,2007-03-09 23:00:00+00:00
Payment,A1017,2007-04-04 22:00:00+00:00
Send for Credit Collection,A1017,2009-03-29 22:00:00+00:00
Create Fine,A10249,2007-03-13 23:00:00+00:00
Send Fine,A10249,2007-07-16 22:00:00+00:00
Insert Fine Notification,A10249,2007-07-24 22:00:00+00:00
Add penalty,A10249,2007-09-22 22:00:00+00:00
Insert Date Appeal to Prefecture,A10249,2007-11-01 23:00:00+00:00
Send Appeal to Prefecture,A10249,2007-12-27 23:00:00+00:00
Receive Result Appeal from Prefecture,A10249,2008-01-21 23:00:00+00:00
Notify Result Appeal to Offender,A10249,2008-01-24 23:00:00+00:00
Payment,A10249,2008-02-08 23:00:00+00:00
Create Fine,A10435,2007-06-30 22:00:00+00:00
Send Fine,A10435,2007-09-28 22:00:00+00:00
Payment,A10435,2007-10-22 22:00:00+00:00
Create Fine,A10619,2007-03-12 23:00:00+00:00
Send Fine,A10619,2007-07-16 22:00:00+00:00
Insert Fine Notification,A10619,2007-07-24 22:00:00+00:00
Insert Date Appeal to Prefecture,A10619,2007-09-20 22:00:00+00:00
Add penalty,A10619,2007-09-22 22:00:00+00:00
Send Appeal to Prefecture,A10619,2007-10-29 23:00:00+00:00
Receive Result Appeal from Prefecture,A10619,2007-11-11 23:00:00+00:00
Notify Result Appeal to Offender,A10619,2007-11-15 23:00:00+00:00
Payment,A10619,2008-10-06 22:00:00+00:00
Create Fine,A10798,2007-03-24 23:00:00+00:00
Send Fine,A10798,2007-08-01 22:00:00+00:00
Insert Fine Notification,A10798,2007-08-10 22:00:00+00:00
Payment,A10798,2007-09-24 22:00:00+00:00
Add penalty,A10798,2007-10-09 22:00:00+00:00
Payment,A10798,2007-10-19 22:00:00+00:00
Create Fine,A1161,2006-08-14 22:00:00+00:00
Payment,A1161,2006-12-11 23:00:00+00:00
Send Fine,A1161,2006-12-13 23:00:00+00:00
Payment,A1161,2006-12-29 23:00:00+00:00
Create Fine,A1183,2006-08-17 22:00:00+00:00
Payment,A1183,2006-08-23 22:00:00+00:00
Send Fine,A1183,2006-12-13 23:00:00+00:00
Insert Fine Notification,A1183,2006-12-21 23:00:00+00:00
Add penalty,A1183,2007-02-19 23:00:00+00:00
Send for Credit Collection,A1183,2009-03-29 22:00:00+00:00
Create Fine,A12260,2007-04-28 22:00:00+00:00
Payment,A12260,2007-07-04 22:00:00+00:00
Send Fine,A12260,2007-08-01 22:00:00+00:00
Insert Fine Notification,A12260,2007-08-09 22:00:00+00:00
Add penalty,A12260,2007-10-08 22:00:00+00:00
Payment,A12260,2008-09-29 22:00:00+00:00
Create Fine,A12414,2007-05-11 22:00:00+00:00
Send Fine,A12414,2007-08-19 22:00:00+00:00
Insert Fine Notification,A12414,2007-09-02 22:00:00+00:00
Insert Date Appeal to Prefecture,A12414,2007-10-21 22:00:00+00:00
Add penalty,A12414,2007-11-01 23:00:00+00:00
Send Appeal to Prefecture,A12414,2007-12-06 23:00:00+00:00
Receive Result Appeal from Prefecture,A12414,2007-12-17 23:00:00+00:00
