case:concept:name,Activity,Resource,Complete Timestamp,Variant,Variant index,concept:name,lifecycle:transition,org:resource,time:timestamp
trace_0,A,NONE,34:16.5,Variant 1,1,A,complete,NONE,2013-11-03T12:34:16.543+01:00
trace_0,C,NONE,34:16.5,Variant 1,1,C,complete,NONE,2013-11-03T12:34:16.543+01:00
trace_0,AC,NONE,34:16.5,Variant 1,1,AC,complete,NONE,2013-11-03T12:34:16.543+01:00
trace_0,AE,NONE,34:16.5,Variant 1,1,AE,complete,NONE,2013-11-03T12:34:16.543+01:00
trace_0,AF,NONE,34:16.5,Variant 1,1,AF,complete,NONE,2013-11-03T12:34:16.543+01:00
trace_0,AD,NONE,34:16.5,Variant 1,1,AD,complete,NONE,2013-11-03T12:34:16.543+01:00
trace_0,AG,NONE,34:16.5,Variant 1,1,AG,complete,NONE,2013-11-03T12:34:16.543+01:00
trace_0,AI,NONE,34:16.5,Variant 1,1,AI,complete,NONE,2013-11-03T12:34:16.543+01:00
trace_0,AJ,NONE,34:16.5,Variant 1,1,AJ,complete,NONE,2013-11-03T12:34:16.543+01:00
trace_0,AH,NONE,34:16.5,Variant 1,1,AH,complete,NONE,2013-11-03T12:34:16.543+01:00
trace_0,D,NONE,34:16.5,Variant 1,1,D,complete,NONE,2013-11-03T12:34:16.543+01:00
trace_0,B,NONE,34:16.5,Variant 1,1,B,complete,NONE,2013-11-03T12:34:16.543+01:00
trace_1,A,NONE,34:16.5,Variant 4,4,A,complete,NONE,2013-11-03T12:34:16.543+01:00
trace_1,C,NONE,34:16.5,Variant 4,4,C,complete,NONE,2013-11-03T12:34:16.543+01:00
trace_1,AC,NONE,34:16.5,Variant 4,4,AC,complete,NONE,2013-11-03T12:34:16.543+01:00
trace_1,AF,NONE,34:16.5,Variant 4,4,AF,complete,NONE,2013-11-03T12:34:16.543+01:00
trace_1,AE,NONE,34:16.5,Variant 4,4,AE,complete,NONE,2013-11-03T12:34:16.543+01:00
trace_1,AD,NONE,34:16.5,Variant 4,4,AD,complete,NONE,2013-11-03T12:34:16.543+01:00
trace_1,AG,NONE,34:16.5,Variant 4,4,AG,complete,NONE,2013-11-03T12:34:16.543+01:00
trace_1,AI,NONE,34:16.5,Variant 4,4,AI,complete,NONE,2013-11-03T12:34:16.543+01:00
trace_1,AJ,NONE,34:16.5,Variant 4,4,AJ,complete,NONE,2013-11-03T12:34:16.543+01:00
trace_1,AH,NONE,34:16.5,Variant 4,4,AH,complete,NONE,2013-11-03T12:34:16.543+01:00
trace_1,D,NONE,34:16.5,Variant 4,4,D,complete,NONE,2013-11-03T12:34:16.543+01:00
trace_1,B,NONE,34:16.5,Variant 4,4,B,complete,NONE,2013-11-03T12:34:16.543+01:00
trace_2,A,NONE,34:16.5,Variant 4,4,A,complete,NONE,2013-11-03T12:34:16.543+01:00
trace_2,C,NONE,34:16.5,Variant 4,4,C,complete,NONE,2013-11-03T12:34:16.543+01:00
trace_2,AC,NONE,34:16.5,Variant 4,4,AC,complete,NONE,2013-11-03T12:34:16.543+01:00
trace_2,AF,NONE,34:16.5,Variant 4,4,AF,complete,NONE,2013-11-03T12:34:16.543+01:00
trace_2,AE,NONE,34:16.5,Variant 4,4,AE,complete,NONE,2013-11-03T12:34:16.543+01:00
trace_2,AD,NONE,34:16.5,Variant 4,4,AD,complete,NONE,2013-11-03T12:34:16.543+01:00
trace_2,AG,NONE,34:16.5,Variant 4,4,AG,complete,NONE,2013-11-03T12:34:16.543+01:00
trace_2,AI,NONE,34:16.5,Variant 4,4,AI,complete,NONE,2013-11-03T12:34:16.543+01:00
trace_2,AJ,NONE,34:16.5,Variant 4,4,AJ,complete,NONE,2013-11-03T12:34:16.543+01:00
trace_2,AH,NONE,34:16.5,Variant 4,4,AH,complete,NONE,2013-11-03T12:34:16.543+01:00
trace_2,D,NONE,34:16.5,Variant 4,4,D,complete,NONE,2013-11-03T12:34:16.543+01:00
trace_2,B,NONE,34:16.5,Variant 4,4,B,complete,NONE,2013-11-03T12:34:16.543+01:00
trace_3,A,NONE,34:16.5,Variant 1,1,A,complete,NONE,2013-11-03T12:34:16.543+01:00
trace_3,C,NONE,34:16.5,Variant 1,1,C,complete,NONE,2013-11-03T12:34:16.543+01:00
trace_3,AC,NONE,34:16.5,Variant 1,1,AC,complete,NONE,2013-11-03T12:34:16.543+01:00
trace_3,AE,NONE,34:16.5,Variant 1,1,AE,complete,NONE,2013-11-03T12:34:16.543+01:00
trace_3,AF,NONE,34:16.5,Variant 1,1,AF,complete,NONE,2013-11-03T12:34:16.543+01:00
