case:concept:name,Activity,Resource,Complete Timestamp,Variant,Variant index,concept:name,lifecycle:transition,org:resource,time:timestamp
trace_0,A,NONE,18:57.0,Variant 1,1,A,complete,NONE,2013-11-03T12:18:57.040+01:00
trace_0,C,NONE,18:57.0,Variant 1,1,C,complete,NONE,2013-11-03T12:18:57.040+01:00
trace_0,AC,NONE,18:57.0,Variant 1,1,AC,complete,NONE,2013-11-03T12:18:57.040+01:00
trace_0,AE,NONE,18:57.0,Variant 1,1,AE,complete,NONE,2013-11-03T12:18:57.040+01:00
trace_0,AF,NONE,18:57.0,Variant 1,1,AF,complete,NONE,2013-11-03T12:18:57.040+01:00
trace_0,AD,NONE,18:57.0,Variant 1,1,AD,complete,NONE,2013-11-03T12:18:57.040+01:00
trace_0,AG,NONE,18:57.0,Variant 1,1,AG,complete,NONE,2013-11-03T12:18:57.040+01:00
trace_0,AJ,NONE,18:57.0,Variant 1,1,AJ,complete,NONE,2013-11-03T12:18:57.040+01:00
trace_0,AI,NONE,18:57.0,Variant 1,1,AI,complete,NONE,2013-11-03T12:18:57.040+01:00
trace_0,AH,NONE,18:57.0,Variant 1,1,AH,complete,NONE,2013-11-03T12:18:57.040+01:00
trace_0,D,NONE,18:57.0,Variant 1,1,D,complete,NONE,2013-11-03T12:18:57.040+01:00
trace_0,B,NONE,18:57.0,Variant 1,1,B,complete,NONE,2013-11-03T12:18:57.040+01:00
trace_1,A,NONE,18:57.0,Variant 1,1,A,complete,NONE,2013-11-03T12:18:57.040+01:00
trace_1,C,NONE,18:57.0,Variant 1,1,C,complete,NONE,2013-11-03T12:18:57.040+01:00
trace_1,AC,NONE,18:57.0,Variant 1,1,AC,complete,NONE,2013-11-03T12:18:57.040+01:00
trace_1,AE,NONE,18:57.0,Variant 1,1,AE,complete,NONE,2013-11-03T12:18:57.040+01:00
trace_1,AF,NONE,18:57.0,Variant 1,1,AF,complete,NONE,2013-11-03T12:18:57.040+01:00
trace_1,AD,NONE,18:57.0,Variant 1,1,AD,complete,NONE,2013-11-03T12:18:57.040+01:00
trace_1,AG,NONE,18:57.0,Variant 1,1,AG,complete,NONE,2013-11-03T12:18:57.040+01:00
trace_1,AJ,NONE,18:57.0,Variant 1,1,AJ,complete,NONE,2013-11-03T12:18:57.040+01:00
trace_1,AI,NONE,18:57.0,Variant 1,1,AI,complete,NONE,2013-11-03T12:18:57.040+01:00
trace_1,AH,NONE,18:57.0,Variant 1,1,AH,complete,NONE,2013-11-03T12:18:57.040+01:00
trace_1,D,NONE,18:57.0,Variant 1,1,D,complete,NONE,2013-11-03T12:18:57.040+01:00
trace_1,B,NONE,18:57.0,Variant 1,1,B,complete,NONE,2013-11-03T12:18:57.040+01:00
trace_2,A,NONE,18:57.0,Variant 81,81,A,complete,NONE,2013-11-03T12:18:57.040+01:00
trace_2,C,NONE,18:57.0,Variant 81,81,C,complete,NONE,2013-11-03T12:18:57.040+01:00
trace_2,U,NONE,18:57.0,Variant 81,81,U,complete,NONE,2013-11-03T12:18:57.040+01:00
trace_2,Z,NONE,18:57.0,Variant 81,81,Z,complete,NONE,2013-11-03T12:18:57.040+01:00
trace_2,AA,NONE,18:57.0,Variant 81,81,AA,complete,NONE,2013-11-03T12:18:57.040+01:00
trace_2,AB,NONE,18:57.0,Variant 81,81,AB,complete,NONE,2013-11-03T12:18:57.040+01:00
trace_2,Z,NONE,18:57.0,Variant 81,81,Z,complete,NONE,2013-11-03T12:18:57.040+01:00
trace_2,AA,NONE,18:57.0,Variant 81,81,AA,complete,NONE,2013-11-03T12:18:57.040+01:00
trace_2,W,NONE,18:57.0,Variant 81,81,W,complete,NONE,2013-11-03T12:18:57.040+01:00
trace_2,I7,NONE,18:57.0,Variant 81,81,I7,complete,NONE,2013-11-03T12:18:57.040+01:00
trace_2,X,NONE,18:57.0,Variant 81,81,X,complete,NONE,2013-11-03T12:18:57.040+01:00
trace_2,I2,NONE,18:57.0,Variant 81,81,I2,complete,NONE,2013-11-03T12:18:57.040+01:00
trace_2,V,NONE,18:57.0,Variant 81,81,V,complete,NONE,2013-11-03T12:18:57.040+01:00
trace_2,D,NONE,18:57.0,Variant 81,81,D,complete,NONE,2013-11-03T12:18:57.040+01:00
trace_2,AK,NONE,18:57.0,Variant 81,81,AK,complete,NONE,2013-11-03T12:18:57.040+01:00
trace_2,AP,NONE,18:57.0,Variant 81,81,AP,complete,NONE,2013-11-03T12:18:57.040+01:00
trace_2,AU,NONE,18:57.0,Variant 81,81,AU,complete,NONE,2013-11-03T12:18:57.040+01:00
trace_2,AS,NONE,18:57.0,Variant 81,81,AS,complete,NONE,2013-11-03T12:18:57.040+01:00
trace_2,AQ,NONE,18:57.0,Variant 81,81,AQ,complete,NONE,2013-11-03T12:18:57.040+01:00
trace_2,AR,NONE,18:57.0,Variant 81,81,AR,complete,NONE,2013-11-03T12:18:57.040+01:00
trace_2,AM,NONE,18:57.0,Variant 81,81,AM,complete,NONE,2013-11-03T12:18:57.040+01:00
trace_2,AT,NONE,18:57.0,Variant 81,81,AT,complete,NONE,2013-11-03T12:18:57.040+01:00
trace_2,AP,NONE,18:57.0,Variant 81,81,AP,complete,NONE,2013-11-03T12:18:57.040+01:00
trace_2,AQ,NONE,18:57.0,Variant 81,81,AQ,complete,NONE,2013-11-03T12:18:57.040+01:00
trace_2,I3,NONE,18:57.0,Variant 81,81,I3,complete,NONE,2013-11-03T12:18:57.040+01:00
trace_2,AN,NONE,18:57.0,Variant 81,81,AN,complete,NONE,2013-11-03T12:18:57.040+01:00
trace_2,AV,NONE,18:57.0,Variant 81,81,AV,complete,NONE,2013-11-03T12:18:57.040+01:00
trace_2,I5,NONE,18:57.0,Variant 81,81,I5,complete,NONE,2013-11-03T12:18:57.040+01:00
trace_2,AL,NONE,18:57.0,Variant 81,81,AL,complete,NONE,2013-11-03T12:18:57.040+01:00
trace_2,C,NONE,18:57.0,Variant 81,81,C,complete,NONE,2013-11-03T12:18:57.040+01:00
trace_2,AC,NONE,18:57.0,Variant 81,81,AC,complete,NONE,2013-11-03T12:18:57.040+01:00
trace_2,AE,NONE,18:57.0,Variant 81,81,AE,complete,NONE,2013-11-03T12:18:57.040+01:00
trace_2,AF,NONE,18:57.0,Variant 81,81,AF,complete,NONE,2013-11-03T12:18:57.040+01:00
trace_2,AD,NONE,18:57.0,Variant 81,81,AD,complete,NONE,2013-11-03T12:18:57.040+01:00
trace_2,AG,NONE,18:57.0,Variant 81,81,AG,complete,NONE,2013-11-03T12:18:57.040+01:00
trace_2,AI,NONE,18:57.0,Variant 81,81,AI,complete,NONE,2013-11-03T12:18:57.040+01:00
trace_2,AJ,NONE,18:57.0,Variant 81,81,AJ,complete,NONE,2013-11-03T12:18:57.040+01:00
trace_2,AH,NONE,18:57.0,Variant 81,81,AH,complete,NONE,2013-11-03T12:18:57.040+01:00
trace_2,D,NONE,18:57.0,Variant 81,81,D,complete,NONE,2013-11-03T12:18:57.040+01:00
trace_2,B,NONE,18:57.0,Variant 81,81,B,complete,NONE,2013-11-03T12:18:57.040+01:00
trace_3,A,NONE,18:57.0,Variant 82,82,A,complete,NONE,2013-11-03T12:18:57.040+01:00
trace_3,C,NONE,18:57.0,Variant 82,82,C,complete,NONE,2013-11-03T12:18:57.040+01:00
trace_3,AC,NONE,18:57.0,Variant 82,82,AC,complete,NONE,2013-11-03T12:18:57.040+01:00
trace_3,AF,NONE,18:57.0,Variant 82,82,AF,complete,NONE,2013-11-03T12:18:57.040+01:00
trace_3,AE,NONE,18:57.0,Variant 82,82,AE,complete,NONE,2013-11-03T12:18:57.040+01:00
trace_3,AD,NONE,18:57.0,Variant 82,82,AD,complete,NONE,2013-11-03T12:18:57.040+01:00
trace_3,AG,NONE,18:57.0,Variant 82,82,AG,complete,NONE,2013-11-03T12:18:57.040+01:00
trace_3,AJ,NONE,18:57.0,Variant 82,82,AJ,complete,NONE,2013-11-03T12:18:57.040+01:00
trace_3,AI,NONE,18:57.0,Variant 82,82,AI,complete,NONE,2013-11-03T12:18:57.040+01:00
trace_3,AH,NONE,18:57.0,Variant 82,82,AH,complete,NONE,2013-11-03T12:18:57.040+01:00
trace_3,D,NONE,18:57.0,Variant 82,82,D,complete,NONE,2013-11-03T12:18:57.040+01:00
trace_3,AK,NONE,18:57.0,Variant 82,82,AK,complete,NONE,2013-11-03T12:18:57.040+01:00
trace_3,AM,NONE,18:57.0,Variant 82,82,AM,complete,NONE,2013-11-03T12:18:57.040+01:00
