case:concept:name,Activity,Resource,Complete Timestamp,Variant,Variant index,concept:name,lifecycle:transition,org:resource,time:timestamp
trace_0,A,NONE,25:45.8,Variant 8,8,A,complete,NONE,2013-11-08T19:25:45.833+01:00
trace_0,C,NONE,25:45.8,Variant 8,8,C,complete,NONE,2013-11-08T19:25:45.833+01:00
trace_0,E,NONE,25:45.8,Variant 8,8,E,complete,NONE,2013-11-08T19:25:45.833+01:00
trace_0,G,NONE,25:45.8,Variant 8,8,G,complete,NONE,2013-11-08T19:25:45.833+01:00
trace_0,I,NONE,25:45.8,Variant 8,8,I,complete,NONE,2013-11-08T19:25:45.833+01:00
trace_0,H,NONE,25:45.8,Variant 8,8,H,complete,NONE,2013-11-08T19:25:45.833+01:00
trace_0,F,NONE,25:45.8,Variant 8,8,F,complete,NONE,2013-11-08T19:25:45.833+01:00
trace_0,J,NONE,25:45.8,Variant 8,8,J,complete,NONE,2013-11-08T19:25:45.833+01:00
trace_0,L,NONE,25:45.8,Variant 8,8,L,complete,NONE,2013-11-08T19:25:45.833+01:00
trace_0,M,NONE,25:45.8,Variant 8,8,M,complete,NONE,2013-11-08T19:25:45.833+01:00
trace_0,K,NONE,25:45.8,Variant 8,8,K,complete,NONE,2013-11-08T19:25:45.833+01:00
trace_0,D,NONE,25:45.8,Variant 8,8,D,complete,NONE,2013-11-08T19:25:45.833+01:00
trace_0,B,NONE,25:45.8,Variant 8,8,B,complete,NONE,2013-11-08T19:25:45.833+01:00
trace_1,A,NONE,25:45.8,Variant 8,8,A,complete,NONE,2013-11-08T19:25:45.833+01:00
trace_1,C,NONE,25:45.8,Variant 8,8,C,complete,NONE,2013-11-08T19:25:45.833+01:00
trace_1,E,NONE,25:45.8,Variant 8,8,E,complete,NONE,2013-11-08T19:25:45.833+01:00
trace_1,G,NONE,25:45.8,Variant 8,8,G,complete,NONE,2013-11-08T19:25:45.833+01:00
trace_1,I,NONE,25:45.8,Variant 8,8,I,complete,NONE,2013-11-08T19:25:45.833+01:00
trace_1,H,NONE,25:45.8,Variant 8,8,H,complete,NONE,2013-11-08T19:25:45.833+01:00
trace_1,F,NONE,25:45.8,Variant 8,8,F,complete,NONE,2013-11-08T19:25:45.833+01:00
trace_1,J,NONE,25:45.8,Variant 8,8,J,complete,NONE,2013-11-08T19:25:45.833+01:00
trace_1,L,NONE,25:45.8,Variant 8,8,L,complete,NONE,2013-11-08T19:25:45.833+01:00
trace_1,M,NONE,25:45.8,Variant 8,8,M,complete,NONE,2013-11-08T19:25:45.833+01:00
trace_1,K,NONE,25:45.8,Variant 8,8,K,complete,NONE,2013-11-08T19:25:45.833+01:00
trace_1,D,NONE,25:45.8,Variant 8,8,D,complete,NONE,2013-11-08T19:25:45.833+01:00
