case:concept:name,concept:name,Resource,Complete Timestamp,Variant,Variant index
instance_455,A,Originator,00:00.0,Variant 40,40
instance_455,C,Originator,00:25.0,Variant 40,40
instance_455,JM,Originator,00:34.0,Variant 40,40
instance_455,LN,Originator,00:56.0,Variant 40,40
instance_455,LQ,Originator,01:17.0,Variant 40,40
instance_455,LO,Originator,01:32.0,Variant 40,40
instance_455,LR,Originator,01:48.0,Variant 40,40
instance_455,LT,Originator,02:02.0,Variant 40,40
instance_455,LU,Originator,02:11.0,Variant 40,40
instance_455,LV,Originator,02:20.0,Variant 40,40
instance_455,LS,Originator,02:39.0,Variant 40,40
instance_455,LW,Originator,02:52.0,Variant 40,40
instance_455,LZ,Originator,03:15.0,Variant 40,40
instance_455,LY,Originator,03:20.0,Variant 40,40
instance_455,LX,Originator,03:42.0,Variant 40,40
instance_455,MA,Originator,04:03.0,Variant 40,40
instance_455,MC,Originator,04:26.0,Variant 40,40
instance_455,MD,Originator,04:34.0,Variant 40,40
instance_455,MB,Originator,04:44.0,Variant 40,40
instance_455,ME,Originator,05:06.0,Variant 40,40
instance_455,MM,Originator,05:32.0,Variant 40,40
instance_455,MQ,Originator,05:40.0,Variant 40,40
instance_455,MN,Originator,05:55.0,Variant 40,40
instance_455,MF,Originator,06:12.0,Variant 40,40
instance_455,MR,Originator,06:42.0,Variant 40,40
instance_455,MT,Originator,07:08.0,Variant 40,40
instance_455,MU,Originator,07:17.0,Variant 40,40
instance_455,MS,Originator,07:33.0,Variant 40,40
instance_455,MV,Originator,07:46.0,Variant 40,40
instance_455,MX,Originator,08:02.0,Variant 40,40
instance_455,MW,Originator,08:09.0,Variant 40,40
instance_455,JN,Originator,08:22.0,Variant 40,40
instance_455,D,Originator,08:32.0,Variant 40,40
instance_455,B,Originator,08:51.0,Variant 40,40
instance_145,A,Originator,00:00.0,Variant 95,95
instance_145,C,Originator,00:20.0,Variant 95,95
instance_145,EC,Originator,00:34.0,Variant 95,95
instance_145,EE,Originator,00:59.0,Variant 95,95
instance_145,EI,Originator,01:16.0,Variant 95,95
instance_145,EK,Originator,01:39.0,Variant 95,95
instance_145,EJ,Originator,01:57.0,Variant 95,95
instance_145,EF,Originator,02:21.0,Variant 95,95
instance_145,EN,Originator,02:34.0,Variant 95,95
instance_145,EP,Originator,02:49.0,Variant 95,95
instance_145,ER,Originator,02:54.0,Variant 95,95
instance_145,EQ,Originator,02:59.0,Variant 95,95
instance_145,ES,Originator,03:11.0,Variant 95,95
instance_145,EO,Originator,03:32.0,Variant 95,95
instance_145,ET,Originator,03:47.0,Variant 95,95
instance_145,EX,Originator,04:03.0,Variant 95,95
instance_145,EV,Originator,04:08.0,Variant 95,95
instance_145,EY,Originator,04:19.0,Variant 95,95
instance_145,EW,Originator,04:35.0,Variant 95,95
instance_145,EU,Originator,04:51.0,Variant 95,95
instance_145,EZ,Originator,05:04.0,Variant 95,95
instance_145,FB,Originator,05:20.0,Variant 95,95
instance_145,FF,Originator,05:46.0,Variant 95,95
instance_145,FD,Originator,05:50.0,Variant 95,95
instance_145,FE,Originator,05:57.0,Variant 95,95
instance_145,FC,Originator,06:16.0,Variant 95,95
instance_145,FA,Originator,06:33.0,Variant 95,95
instance_145,ED,Originator,07:06.0,Variant 95,95
instance_145,D,Originator,07:12.0,Variant 95,95
instance_145,B,Originator,07:34.0,Variant 95,95
instance_649,A,Originator,00:00.0,Variant 96,96
instance_649,C,Originator,00:25.0,Variant 96,96
instance_649,EC,Originator,00:33.0,Variant 96,96
instance_649,EE,Originator,00:56.0,Variant 96,96
instance_649,EI,Originator,01:17.0,Variant 96,96
instance_649,EM,Originator,01:39.0,Variant 96,96
instance_649,EJ,Originator,02:05.0,Variant 96,96
instance_649,EF,Originator,02:24.0,Variant 96,96
instance_649,EN,Originator,02:34.0,Variant 96,96
instance_649,ER,Originator,02:48.0,Variant 96,96
instance_649,EP,Originator,02:49.0,Variant 96,96
instance_649,EQ,Originator,02:59.0,Variant 96,96
instance_649,ES,Originator,03:09.0,Variant 96,96
instance_649,EO,Originator,03:37.0,Variant 96,96
instance_649,ET,Originator,03:51.0,Variant 96,96
instance_649,EX,Originator,04:07.0,Variant 96,96
instance_649,EV,Originator,04:13.0,Variant 96,96
instance_649,EY,Originator,04:23.0,Variant 96,96
instance_649,EW,Originator,04:37.0,Variant 96,96
instance_649,EU,Originator,04:50.0,Variant 96,96
instance_649,EZ,Originator,05:04.0,Variant 96,96
instance_649,FB,Originator,05:16.0,Variant 96,96
instance_649,FD,Originator,05:40.0,Variant 96,96
instance_649,FF,Originator,05:45.0,Variant 96,96
instance_649,FE,Originator,05:54.0,Variant 96,96
instance_649,FC,Originator,06:16.0,Variant 96,96
instance_649,FA,Originator,06:29.0,Variant 96,96
instance_649,ED,Originator,06:46.0,Variant 96,96
instance_649,D,Originator,07:06.0,Variant 96,96
instance_649,B,Originator,07:22.0,Variant 96,96
instance_258,A,Originator,00:00.0,Variant 97,97
instance_258,C,Originator,00:16.0,Variant 97,97
instance_258,E,Originator,00:31.0,Variant 97,97
instance_258,AX,Originator,00:44.0,Variant 97,97
instance_258,CA,Originator,01:06.0,Variant 97,97
instance_258,CR,Originator,01:13.0,Variant 97,97
instance_258,AZ,Originator,01:22.0,Variant 97,97
instance_258,CG,Originator,01:26.0,Variant 97,97
