case:concept:name,concept:name,Resource,Complete Timestamp,Variant,Variant index
instance_455,A,Originator,00:00.0,Variant 19,19
instance_455,C,Originator,00:20.0,Variant 19,19
instance_455,CN,Originator,00:28.0,Variant 19,19
instance_455,CP,Originator,00:47.0,Variant 19,19
instance_455,CR,Originator,01:14.0,Variant 19,19
instance_455,CT,Originator,01:30.0,Variant 19,19
instance_455,CS,Originator,01:51.0,Variant 19,19
instance_455,CQ,Originator,02:13.0,Variant 19,19
instance_455,CX,Originator,02:38.0,Variant 19,19
instance_455,DD,Originator,02:39.0,Variant 19,19
instance_455,CZ,Originator,02:47.0,Variant 19,19
instance_455,DE,Originator,02:54.0,Variant 19,19
instance_455,DC,Originator,03:03.0,Variant 19,19
instance_455,DB,Originator,03:03.0,Variant 19,19
instance_455,DA,Originator,03:23.0,Variant 19,19
instance_455,CY,Originator,03:44.0,Variant 19,19
instance_455,CO,Originator,03:52.0,Variant 19,19
instance_455,DX,Originator,04:02.0,Variant 19,19
instance_455,EI,Originator,04:19.0,Variant 19,19
instance_455,ER,Originator,04:42.0,Variant 19,19
instance_455,ET,Originator,05:05.0,Variant 19,19
instance_455,EU,Originator,05:10.0,Variant 19,19
instance_455,EV,Originator,05:15.0,Variant 19,19
instance_455,ES,Originator,05:39.0,Variant 19,19
instance_455,EJ,Originator,05:54.0,Variant 19,19
instance_455,DY,Originator,06:17.0,Variant 19,19
instance_455,EW,Originator,06:42.0,Variant 19,19
instance_455,FH,Originator,06:59.0,Variant 19,19
instance_455,EY,Originator,06:59.0,Variant 19,19
instance_455,FL,Originator,07:18.0,Variant 19,19
instance_455,FJ,Originator,07:22.0,Variant 19,19
instance_455,FB,Originator,07:23.0,Variant 19,19
instance_455,FK,Originator,07:27.0,Variant 19,19
instance_455,EZ,Originator,07:41.0,Variant 19,19
instance_455,FI,Originator,07:42.0,Variant 19,19
instance_455,FC,Originator,07:56.0,Variant 19,19
instance_455,FM,Originator,07:59.0,Variant 19,19
instance_455,FG,Originator,08:10.0,Variant 19,19
instance_455,FO,Originator,08:12.0,Variant 19,19
instance_455,FD,Originator,08:29.0,Variant 19,19
instance_455,FN,Originator,08:30.0,Variant 19,19
instance_455,EX,Originator,08:50.0,Variant 19,19
instance_455,D,Originator,09:15.0,Variant 19,19
instance_455,B,Originator,09:30.0,Variant 19,19
instance_145,A,Originator,00:00.0,Variant 20,20
instance_145,C,Originator,00:15.0,Variant 20,20
instance_145,E,Originator,00:25.0,Variant 20,20
instance_145,G,Originator,00:43.0,Variant 20,20
instance_145,J,Originator,01:00.0,Variant 20,20
instance_145,I,Originator,01:09.0,Variant 20,20
instance_145,K,Originator,01:13.0,Variant 20,20
instance_145,H,Originator,01:34.0,Variant 20,20
instance_145,L,Originator,01:47.0,Variant 20,20
instance_145,O,Originator,02:08.0,Variant 20,20
instance_145,M,Originator,02:33.0,Variant 20,20
instance_145,P,Originator,02:59.0,Variant 20,20
instance_145,R,Originator,03:11.0,Variant 20,20
instance_145,T,Originator,03:26.0,Variant 20,20
instance_145,S,Originator,03:52.0,Variant 20,20
instance_145,Q,Originator,04:08.0,Variant 20,20
instance_145,F,Originator,04:27.0,Variant 20,20
instance_145,BH,Originator,04:54.0,Variant 20,20
instance_145,BJ,Originator,05:18.0,Variant 20,20
instance_145,BN,Originator,05:28.0,Variant 20,20
instance_145,BP,Originator,05:28.0,Variant 20,20
instance_145,BM,Originator,05:38.0,Variant 20,20
instance_145,BQ,Originator,05:44.0,Variant 20,20
instance_145,BO,Originator,05:53.0,Variant 20,20
instance_145,BK,Originator,05:57.0,Variant 20,20
instance_145,BI,Originator,06:19.0,Variant 20,20
instance_145,BR,Originator,06:34.0,Variant 20,20
instance_145,BT,Originator,06:59.0,Variant 20,20
instance_145,BX,Originator,07:07.0,Variant 20,20
instance_145,BV,Originator,07:21.0,Variant 20,20
instance_145,BY,Originator,07:26.0,Variant 20,20
instance_145,BU,Originator,07:47.0,Variant 20,20
instance_145,BS,Originator,08:03.0,Variant 20,20
instance_145,BZ,Originator,08:14.0,Variant 20,20
instance_145,CD,Originator,08:30.0,Variant 20,20
instance_145,CB,Originator,08:34.0,Variant 20,20
instance_145,CF,Originator,08:40.0,Variant 20,20
instance_145,CG,Originator,08:44.0,Variant 20,20
instance_145,CC,Originator,08:51.0,Variant 20,20
instance_145,CE,Originator,08:59.0,Variant 20,20
instance_145,CA,Originator,09:18.0,Variant 20,20
instance_145,CH,Originator,09:39.0,Variant 20,20
instance_145,CI,Originator,09:47.0,Variant 20,20
instance_145,CJ,Originator,10:01.0,Variant 20,20
instance_145,CL,Originator,10:15.0,Variant 20,20
instance_145,CM,Originator,10:23.0,Variant 20,20
instance_145,CK,Originator,10:43.0,Variant 20,20
instance_145,D,Originator,11:05.0,Variant 20,20
instance_145,B,Originator,11:18.0,Variant 20,20
instance_649,A,Originator,00:00.0,Variant 21,21
instance_649,C,Originator,00:14.0,Variant 21,21
instance_649,CN,Originator,00:20.0,Variant 21,21
instance_649,CP,Originator,00:37.0,Variant 21,21
instance_649,CR,Originator,00:54.0,Variant 21,21
instance_649,CU,Originator,01:17.0,Variant 21,21
instance_649,CS,Originator,01:26.0,Variant 21,21
instance_649,CQ,Originator,01:42.0,Variant 21,21
instance_649,CX,Originator,01:59.0,Variant 21,21
instance_649,CZ,Originator,02:12.0,Variant 21,21
instance_649,DD,Originator,02:14.0,Variant 21,21
instance_649,DE,Originator,02:27.0,Variant 21,21
instance_649,DB,Originator,02:35.0,Variant 21,21
instance_649,DC,Originator,02:42.0,Variant 21,21
instance_649,DA,Originator,03:09.0,Variant 21,21
instance_649,CY,Originator,03:33.0,Variant 21,21
instance_649,CO,Originator,03:47.0,Variant 21,21
instance_649,DX,Originator,04:06.0,Variant 21,21
instance_649,EI,Originator,04:28.0,Variant 21,21
instance_649,ER,Originator,04:50.0,Variant 21,21
instance_649,EU,Originator,05:11.0,Variant 21,21
instance_649,EV,Originator,05:20.0,Variant 21,21
instance_649,ET,Originator,05:29.0,Variant 21,21
instance_649,ES,Originator,05:44.0,Variant 21,21
instance_649,EJ,Originator,05:56.0,Variant 21,21
