case:concept:name,concept:name,Resource,Complete Timestamp,Variant,Variant index
instance_455,Start,Start,00:00.0,Variant 1,1
instance_455,A,Originator,00:00.0,Variant 1,1
instance_455,HD,Originator,00:00.0,Variant 1,1
instance_455,HE,Originator,00:19.0,Variant 1,1
instance_455,FR,Originator,00:30.0,Variant 1,1
instance_455,FT,Originator,00:42.0,Variant 1,1
instance_455,HA,Originator,01:11.0,Variant 1,1
instance_455,HN,Originator,01:17.0,Variant 1,1
instance_455,GV,Originator,01:24.0,Variant 1,1
instance_455,GW,Originator,01:26.0,Variant 1,1
instance_455,GU,Originator,01:38.0,Variant 1,1
instance_455,HC,Originator,01:38.0,Variant 1,1
instance_455,GZ,Originator,01:39.0,Variant 1,1
instance_455,GX,Originator,01:40.0,Variant 1,1
instance_455,GY,Originator,02:02.0,Variant 1,1
instance_455,FU,Originator,02:45.0,Variant 1,1
instance_455,HB,Originator,03:16.0,Variant 1,1
instance_455,HF,Originator,03:20.0,Variant 1,1
instance_455,HH,Originator,03:35.0,Variant 1,1
instance_455,HJ,Originator,03:42.0,Variant 1,1
instance_455,HP,Originator,03:47.0,Variant 1,1
instance_455,HT,Originator,03:50.0,Variant 1,1
instance_455,HS,Originator,03:58.0,Variant 1,1
instance_455,HL,Originator,04:02.0,Variant 1,1
instance_455,HM,Originator,04:03.0,Variant 1,1
instance_455,HR,Originator,04:06.0,Variant 1,1
instance_455,HI,Originator,04:11.0,Variant 1,1
instance_455,HK,Originator,04:20.0,Variant 1,1
instance_455,HQ,Originator,04:33.0,Variant 1,1
instance_455,HG,Originator,04:42.0,Variant 1,1
instance_455,GT,Originator,04:42.0,Variant 1,1
instance_455,FS,Originator,04:42.0,Variant 1,1
instance_455,HO,Originator,04:51.0,Variant 1,1
instance_455,C,Originator,05:13.0,Variant 1,1
instance_455,D,Originator,05:46.0,Variant 1,1
instance_455,B,Originator,06:01.0,Variant 1,1
instance_455,End,End,06:01.0,Variant 1,1
instance_145,Start,Start,00:00.0,Variant 2,2
instance_145,A,Originator,00:00.0,Variant 2,2
instance_145,C,Originator,00:22.0,Variant 2,2
instance_145,AS,Originator,00:32.0,Variant 2,2
instance_145,AQ,Originator,01:01.0,Variant 2,2
instance_145,CF,Originator,01:06.0,Variant 2,2
instance_145,AL,Originator,01:07.0,Variant 2,2
instance_145,AR,Originator,01:18.0,Variant 2,2
instance_145,BO,Originator,01:27.0,Variant 2,2
instance_145,AN,Originator,01:27.0,Variant 2,2
instance_145,AI,Originator,01:28.0,Variant 2,2
instance_145,AK,Originator,01:38.0,Variant 2,2
instance_145,AJ,Originator,01:39.0,Variant 2,2
instance_145,AM,Originator,01:51.0,Variant 2,2
instance_145,AH,Originator,02:04.0,Variant 2,2
instance_145,AF,Originator,02:26.0,Variant 2,2
instance_145,E,Originator,02:46.0,Variant 2,2
instance_145,AZ,Originator,03:04.0,Variant 2,2
